"row","column","w(Al_K)","w(Si_K)","w(P_K)","w(S_K)","w(Cl_K)","w(Ar_K)","w(K_K)","w(Ca_K)","w(Ti_K)","w(Mn_K)","w(Fe_K)","w(Ni_K)","w(Cu_K)","w(Zn_K)","w(Rh_L)","Al_K","Si_K","P_K","S_K","Cl_K","Ar_K","K_K","Ca_K","Ti_K","Mn_K","Fe_K","Ni_K","Cu_K","Zn_K","Rh_L","Scatter_Peak000","Scatter_Compton000","Scatter_Peak001","Scatter_Compton001","Scatter_Peak002","Scatter_Compton002","Scatter_Peak003","Scatter_Compton003","chisq","(Si_K/Ar_K)","(P_K/Ar_K)","(S_K/Ar_K)","(Cl_K/Ar_K)","(K_K/Ar_K)","(Ca_K/Ar_K)","(Ti_K/Ar_K)","(Mn_K/Ar_K)","(Fe_K/Ar_K)","(Ni_K/Ar_K)","(Cu_K/Ar_K)","(Zn_K/Ar_K)","(Si_K/Fe_K)","(P_K/Fe_K)","(S_K/Fe_K)","(Cl_K/Fe_K)","(K_K/Fe_K)","(Ca_K/Fe_K)","(Ti_K/Fe_K)","(Mn_K/Fe_K)","(Ni_K/Fe_K)","(Cu_K/Fe_K)","(Zn_K/Fe_K)","(Si_K/Rh_L)","(P_K/Rh_L)","(S_K/Rh_L)","(Cl_K/Rh_L)","(K_K/Rh_L)","(Ca_K/Rh_L)","(Ti_K/Rh_L)","(Mn_K/Rh_L)","(Fe_K/Rh_L)","(Ni_K/Rh_L)","(Cu_K/Rh_L)","(Zn_K/Rh_L)"
0,0,0,0.237887,0.101393,1.95263,0.131099,1.14053,0.546921,1.58088,0.034567,0.0437865,0.470058,0.00023651,0.030409,0.0205318,1.8507,0,351.92,410.562,14692.8,1038.46,12506.8,9594.45,36091.7,1119.96,2217.98,26273.7,14.7364,1876.16,1252.57,11819.6,0,0,0,0,0,0,0,0,2.40634,0.0281383,0.0328271,1.17478,0.0830316,0.767139,2.88577,0.0895481,0.177342,2.10075,0.00117827,0.150011,0.100151,0.0133944,0.0156263,0.559221,0.0395247,0.365173,1.37368,0.0426267,0.0844183,0.00056088,0.0714083,0.0476739,0.0297743,0.0347357,1.24309,0.0878591,0.811741,3.05355,0.0947545,0.187653,2.22289,0.00124678,0.158733,0.105974
1,0,0,0.201701,0.0781918,0.720045,0.243312,0.993227,0.438477,0.975759,0.035672,0.0555168,0.977874,0.00287883,0.190995,0.0441466,1.61795,0,256.564,283.343,5228.4,2202.46,11836.5,8228.87,23556.6,1229.22,2849.8,54780.9,173.048,11429,2625.18,11503.6,0,0,0,0,0,0,0,0,2.34055,0.0216757,0.0239381,0.441718,0.186074,0.695211,1.99017,0.10385,0.240764,4.62813,0.0146199,0.965573,0.221787,0.00468346,0.0051723,0.095442,0.0402049,0.150214,0.430015,0.0224388,0.0520218,0.00315891,0.208631,0.0479214,0.0223029,0.0246308,0.454501,0.191458,0.71533,2.04776,0.106855,0.247731,4.76207,0.0150429,0.993515,0.228205
2,0,0,0.172074,0.0880483,1.26061,0.185979,1.10431,0.546076,1.39527,0.0309487,0.0405331,0.978962,0.00213966,0.0925595,0.0226801,1.57694,0,230.249,331.35,9284.63,1603.36,12877.3,10068.5,33098.2,1039.36,2067.65,54733,130.212,5597.3,1360.61,10811.8,0,0,0,0,0,0,0,0,2.2769,0.0178802,0.0257313,0.721008,0.124511,0.78188,2.57027,0.0807126,0.160565,4.25035,0.0101117,0.434664,0.10566,0.00420677,0.00605393,0.169635,0.0292942,0.183957,0.604721,0.0189896,0.037777,0.00237904,0.102266,0.024859,0.0212961,0.0306471,0.85875,0.148297,0.931251,3.0613,0.096132,0.19124,5.06234,0.0120435,0.517703,0.125845
3,0,0,0.0993644,0.034379,0.588223,0.176271,0.736305,0.187299,0.693716,0.0222777,0.026456,0.349216,0.00031082,0.0464383,0.0182639,1.12034,0,137.708,132.931,4415.29,1520.36,8324.34,3382.99,16376.7,736.183,1343.63,19495.2,19.0644,2827.1,1101.84,7610.5,0,0,0,0,0,0,0,0,2.16207,0.0165428,0.015969,0.530407,0.18264,0.406397,1.96733,0.0884374,0.16141,2.34195,0.0022902,0.339619,0.132364,0.00706369,0.00681865,0.226481,0.0779864,0.173529,0.840038,0.0377623,0.0689211,0.000977902,0.145015,0.0565185,0.0180945,0.0174668,0.580158,0.199771,0.444516,2.15186,0.0967325,0.17655,2.56162,0.00250501,0.371474,0.144779
4,0,0,0.079534,0.0661722,0.463224,0.300062,0.694271,0.264388,0.724621,0.0224627,0.0332293,0.710756,0.000370617,0.116632,0.0262985,1.04818,0,101.799,240.855,3374.6,2755.8,8095.04,4893.48,17516.8,773.733,1706.67,39843.2,22.3121,6988.23,1565.53,7468.23,0,0,0,0,0,0,0,0,2.00938,0.0125755,0.0297534,0.416873,0.340431,0.604503,2.16389,0.0955811,0.210829,4.92193,0.00275627,0.863273,0.193394,0.00255499,0.00604507,0.084697,0.0691661,0.122818,0.439643,0.0194194,0.0428347,0.000559998,0.175393,0.0392923,0.0136309,0.0322506,0.451861,0.369003,0.65524,2.34551,0.103603,0.228524,5.33503,0.0029876,0.935728,0.209625
5,0,0,0.078569,0.0460819,0.771911,0.357108,0.782625,0.262996,0.877564,0.0258652,0.0360328,0.318426,0.000995255,0.0315058,0.0164477,1.15345,0,118.1,189.701,6086.44,3167.33,8196.29,4452.56,19725.2,832.538,1820.81,17774.5,62.1245,1946.87,1004.73,7785.09,0,0,0,0,0,0,0,0,2.41136,0.014409,0.0231447,0.742585,0.386435,0.543241,2.4066,0.101575,0.222151,2.1686,0.00757959,0.237531,0.122584,0.00664435,0.0106726,0.342425,0.178195,0.250503,1.10975,0.0468389,0.102439,0.00349515,0.109532,0.0565265,0.01517,0.0243672,0.781807,0.406846,0.571934,2.53372,0.10694,0.233884,2.28315,0.00797993,0.250077,0.129058
6,0,0,0.121233,0.0409754,0.49976,0.154443,0.69362,0.265955,0.593102,0.0253312,0.0381337,0.413348,0.00229139,0.0833685,0.0227693,1.15688,0,162.709,154.633,3704.43,1364.32,8047.63,4874.1,13959.5,850.966,1944.79,23110.4,139.503,5043.26,1366.37,8033.8,0,0,0,0,0,0,0,0,1.89074,0.0202183,0.0192147,0.460313,0.169531,0.605657,1.73461,0.105741,0.24166,2.8717,0.0173347,0.626676,0.169785,0.00704051,0.00669106,0.160293,0.0590349,0.210905,0.604035,0.0368218,0.0841522,0.00603637,0.218225,0.0591236,0.0202531,0.0192478,0.461106,0.169822,0.606699,1.7376,0.105923,0.242076,2.87665,0.0173645,0.627755,0.170078
7,0,0,0.107839,0.0481292,0.316611,0.219039,0.62584,0.504018,0.867839,0.0256912,0.045595,1.20091,0.00276334,0.192179,0.0331037,0.971425,0,127.915,166.039,2285.71,2164.55,8016.13,9971.4,21488.1,905.937,2347.01,67136,162.903,11310.7,1941.36,7452.99,0,0,0,0,0,0,0,0,2.08572,0.0159572,0.0207131,0.285139,0.270024,1.24392,2.68061,0.113014,0.292786,8.37511,0.0203219,1.41099,0.242182,0.00190531,0.00247317,0.034046,0.0322413,0.148525,0.320068,0.0134941,0.034959,0.00242646,0.168474,0.0289168,0.0171629,0.0222782,0.306684,0.290427,1.33791,2.88315,0.121553,0.314909,9.00793,0.0218574,1.51761,0.260481
8,0,0,0.086995,0.048093,0.498221,0.367874,0.700189,0.270381,0.817333,0.0210277,0.0339699,0.510779,4.88935e-05,0.0526646,0.0215883,1.00898,0,117.774,182.989,3753.67,3389.89,7997.02,4911.86,19296.8,700.831,1727.59,28506.1,2.98003,3188.95,1296.56,7157.59,0,0,0,0,0,0,0,0,1.94427,0.0147272,0.0228821,0.469384,0.423894,0.614211,2.413,0.0876365,0.216029,3.56459,0.000372643,0.398767,0.16213,0.00413154,0.00641929,0.13168,0.118918,0.172309,0.676936,0.0245853,0.0606042,0.00010454,0.111869,0.0454836,0.0164544,0.0255657,0.524432,0.473608,0.686245,2.69599,0.0979144,0.241365,3.98264,0.000416345,0.445534,0.181145
9,0,0,0.0918838,0.0623701,0.352438,0.121064,0.587809,0.58085,0.839138,0.0209479,0.0470534,1.39241,0.00235932,0.231706,0.0326847,1.00433,0,106.469,211.117,2501.67,1184.91,7657.44,11626.3,20912.6,750.28,2433.54,78009.4,138.331,13573.6,1909.29,7701.79,0,0,0,0,0,0,0,0,2.14689,0.013904,0.0275702,0.326698,0.15474,1.5183,2.73102,0.0979805,0.317801,10.1874,0.0180649,1.7726,0.249338,0.00136482,0.0027063,0.0320688,0.0151893,0.149037,0.268078,0.00961782,0.0311955,0.00177326,0.174,0.0244751,0.0138239,0.0274114,0.324817,0.153849,1.50956,2.71529,0.0974163,0.315971,10.1287,0.0179609,1.7624,0.247902
